Time,Main Warning,Sub Warning,Full Warning,Warning Text,WarnMsg,Value0
30/04/2014 17:27:50,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
30/04/2014 17:27:50,0,0,0 : 0,RTU,FALSE,0
01/05/2014 03:27:48,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
01/05/2014 03:27:48,0,0,0 : 0,RTU,FALSE,0
01/05/2014 08:57:11,240,1,240 : 1,Remote control PC,FALSE,0
01/05/2014 11:28:32,240,0,240 : 0,Remote control PC,FALSE,0
01/05/2014 11:28:33,0,0,0 : 0,RTU,FALSE,0
01/05/2014 13:27:46,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
01/05/2014 13:27:47,0,0,0 : 0,RTU,FALSE,0
01/05/2014 23:27:44,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
01/05/2014 23:27:44,0,0,0 : 0,RTU,FALSE,0
02/05/2014 09:27:42,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
02/05/2014 09:27:42,0,0,0 : 0,RTU,FALSE,0
02/05/2014 19:27:40,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
02/05/2014 19:27:40,0,0,0 : 0,RTU,FALSE,0
03/05/2014 05:27:38,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
03/05/2014 05:27:38,0,0,0 : 0,RTU,FALSE,0
03/05/2014 15:27:36,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
03/05/2014 15:27:36,0,0,0 : 0,RTU,FALSE,0
04/05/2014 01:27:33,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
04/05/2014 01:27:33,0,0,0 : 0,RTU,FALSE,0
04/05/2014 11:27:31,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
04/05/2014 11:27:31,0,0,0 : 0,RTU,FALSE,0
04/05/2014 21:27:29,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
04/05/2014 21:27:29,0,0,0 : 0,RTU,FALSE,0
05/05/2014 07:27:27,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
05/05/2014 07:27:27,0,0,0 : 0,RTU,FALSE,0
05/05/2014 11:16:29,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
05/05/2014 11:16:29,0,0,0 : 0,RTU,FALSE,0
05/05/2014 17:27:25,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
05/05/2014 17:27:25,0,0,0 : 0,RTU,FALSE,0
06/05/2014 03:27:22,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
06/05/2014 03:27:23,0,0,0 : 0,RTU,FALSE,0
06/05/2014 13:27:20,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
06/05/2014 13:27:20,0,0,0 : 0,RTU,FALSE,0
06/05/2014 23:27:18,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
06/05/2014 23:27:18,0,0,0 : 0,RTU,FALSE,0
07/05/2014 09:27:16,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
07/05/2014 09:27:16,0,0,0 : 0,RTU,FALSE,0
07/05/2014 19:27:14,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
07/05/2014 19:27:14,0,0,0 : 0,RTU,FALSE,0
08/05/2014 05:00:58,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
08/05/2014 05:00:58,0,0,0 : 0,RTU,FALSE,0
08/05/2014 05:27:11,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
08/05/2014 05:27:12,0,0,0 : 0,RTU,FALSE,0
08/05/2014 15:27:09,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
08/05/2014 15:27:09,0,0,0 : 0,RTU,FALSE,0
09/05/2014 01:27:07,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
09/05/2014 01:27:07,0,0,0 : 0,RTU,FALSE,0
09/05/2014 11:27:05,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
09/05/2014 11:27:05,0,0,0 : 0,RTU,FALSE,0
09/05/2014 21:27:03,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
09/05/2014 21:27:03,0,0,0 : 0,RTU,FALSE,0
10/05/2014 07:27:01,100,230,100 : 230,Set point active power : Power limitation (10h),TRUE,0
10/05/2014 07:27:01,0,0,0 : 0,RTU,FALSE,0
