Time,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
26/09/2014 11:53:37,100,90,100 : 90,Set point active power : Active power set point: 90%,1,FALSE,FALSE,0
26/09/2014 11:53:39,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:53:45,100,84,100 : 84,Set point active power : Active power set point: 84%,1,FALSE,FALSE,0
26/09/2014 11:53:47,100,91,100 : 91,Set point active power : Active power set point: 91%,1,FALSE,FALSE,0
26/09/2014 11:53:49,100,97,100 : 97,Set point active power : Active power set point: 97%,1,FALSE,FALSE,0
26/09/2014 11:53:52,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:53:55,100,84,100 : 84,Set point active power : Active power set point: 84%,1,FALSE,FALSE,0
26/09/2014 11:53:57,100,89,100 : 89,Set point active power : Active power set point: 89%,1,FALSE,FALSE,0
26/09/2014 11:53:59,100,96,100 : 96,Set point active power : Active power set point: 96%,1,FALSE,FALSE,0
26/09/2014 11:54:02,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:54:02,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:54:03,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:54:07,100,84,100 : 84,Set point active power : Active power set point: 84%,1,FALSE,FALSE,0
26/09/2014 11:54:09,100,89,100 : 89,Set point active power : Active power set point: 89%,1,FALSE,FALSE,0
26/09/2014 11:54:11,100,95,100 : 95,Set point active power : Active power set point: 95%,1,FALSE,FALSE,0
26/09/2014 11:54:13,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:54:14,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:54:16,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:54:20,100,87,100 : 87,Set point active power : Active power set point: 87%,1,FALSE,FALSE,0
26/09/2014 11:54:22,100,93,100 : 93,Set point active power : Active power set point: 93%,1,FALSE,FALSE,0
26/09/2014 11:54:25,100,98,100 : 98,Set point active power : Active power set point: 98%,1,FALSE,FALSE,0
